Entity,Year,Greenhouse Gas Emissions (Clark & Tilman (2017)),Land Use (Clark & Tilman (2017)),Energy Use (Clark & Tilman (2017)),Acidification Potential (Clark & Tilman (2017)),Eutrophication Potential (Clark & Tilman (2017))
Beef/Mutton,2017,221.6325178,1.024301413,,,
Dairy,2017,35.07044163,0.044010332,,,
Eggs,2017,24.37099383,0.051357694,,,
Fresh Produce,2017,37.16608108,0.098234576,,,
Maize,2017,4.422307692,0.014353846,,,
Non-Recirculating Aquaculture,2017,44.5564,,,,
Non-Trawling Fishery,2017,31.36402597,,,,
Pork,2017,36.33007692,0.129944775,,,
Poultry,2017,31.74791932,0.075101513,,,
Pulses,2017,0.577692308,0.010395,,,
Recirculating Aquaculture,2017,109.78,,,,
Rice,2017,21.1625,0.022884615,,,
Trawl Fishery,2017,81.10457143,,,,
Wheat,2017,4.623513514,0.035401875,,,
