Entity,Year,Accidents reported to police,Accidents reported with injury,Accidents reported with material damage,Road casualties,Road deaths,Road injuries
Germany,1953,,251618,221409,,,
Germany,1954,,267925,255840,,,
Germany,1955,,296071,307280,,,
Germany,1956,,307012,356729,,,
Germany,1957,,299866,379023,,,
Germany,1958,,296697,455087,,,
Germany,1959,,327595,515817,,,
Germany,1960,,349315,640812,,,
Germany,1961,,339547,689834,,,
Germany,1962,,321257,757844,,,
Germany,1963,,314642,781897,,,
Germany,1964,,328668,760418,,,
Germany,1965,,316361,782985,,,
Germany,1966,,332622,835201,,,
Germany,1967,,335552,808658,,,
Germany,1968,,339704,841452,,,
Germany,1969,,338921,874666,,,
Germany,1970,,377610,1014397,,,
Germany,1971,,369177,968882,,,
Germany,1972,,378775,1002751,,,
Germany,1973,,353725,971013,,,
Germany,1974,,331000,897997,,,
Germany,1975,,337732,926835,,,
Germany,1976,,359694,1058829,,,
Germany,1977,,379046,1144346,,,
Germany,1978,,380352,1238835,,,
Germany,1979,,367500,1293180,,,
Germany,1980,,379235,1305369,,,
Germany,1981,,362617,1315880,,,
Germany,1982,,358693,1270396,,,
Germany,1983,,374107,1318827,,,
Germany,1984,,359485,1421333,,,
Germany,1985,,327745,1512550,,,
Germany,1986,,341921,1593674,,,
Germany,1987,,325519,1651982,,,
Germany,1988,,342299,1680349,,,
Germany,1989,,343604,1654183,,,
Germany,1990,,340043,1670532,,,
Germany,1991,,385147,1926319,,,
Germany,1992,,395462,1989117,,,
Germany,1993,,385384,1960012,,,
Germany,1994,,392754,1878064,,,
Germany,1995,,388003,1850298,,,
Germany,1996,,373082,1896488,,,
Germany,1997,,380835,1851544,,,
Germany,1998,,377257,1880392,,,
Germany,1999,,395689,2017784,,,
Germany,2000,,382949,1967278,,,
Germany,2001,,375345,1998211,,,
Germany,2002,,362054,1927420,,,
Germany,2003,,354534,1905033,,,
Germany,2004,,339310,1922379,,,
Germany,2005,,336619,1917373,,,
Germany,2006,,327984,1907334,,,
Germany,2007,,335845,1999160,,,
Germany,2008,,320614,1973049,,,
Germany,2009,,310806,2002647,,,
Germany,2010,,288297,2122974,,,
Germany,2011,,306266,2055191,,,
Germany,2012,,299637,2102206,,,
Germany,2013,,291105,2122906,,,
Germany,2014,,302435,2104250,,,
Germany,2015,,305659,2211172,,,
Germany,2016,,308145,2277182,,,
