Entity,Year,Percentage of men in each industry group (Costa (2000)),"Average daily hours of work, by industry, men (Costa (2000))","Average daily hours of work, by occupation, men (Costa (2000))"
Clerical,1890,,,10.85
Clerical,1973,,,8.0900002
Clerical,1991,,,8.2299995
Construction,1890,,9.43,
Construction,1973,,8.159999847412109,
Construction,1991,,8.550000190734863,
Craft,1890,,,9.9499998
Craft,1973,,,8.1800003
Craft,1991,,,8.4799995
Entertainment,1973,,7.840000152587891,
Entertainment,1991,,8.300000190734863,
"Finance, insurance, real estate",1973,,8.420000076293945,
"Finance, insurance, real estate",1991,,8.699999809265137,
Laborer,1890,,,9.8299999
Laborer,1973,,,8.4099998
Laborer,1991,,,8.7399998
Managerial,1890,,,11.34
Managerial,1973,,,8.8100004
Managerial,1991,,,9.1199999
Manufacturing,1890,,9.57,
Manufacturing,1973,,8.260000228881836,
Manufacturing,1991,,8.590000152587891,
Mining,1890,,9.380000000000001,
Mining,1973,,8.449999809265137,
Mining,1991,,9.579999923706055,
Operative,1890,,,10.2
Operative,1973,,,8.1199999
Operative,1991,,,8.3599997
Personal service,1890,,11.81,
Personal service,1973,,8.460000038146973,
Personal service,1991,,8.430000305175781,
Professional,1890,,,8.6599998
Professional,1973,,8.510000228881836,8.3900003
Professional,1991,,8.600000381469727,8.6599998
Public administration,1890,,10.41,
Public administration,1973,,8.380000114440918,
Public administration,1991,,8.390000343322754,
Repair,1973,,8.409999847412109,
Repair,1991,,8.609999656677246,
Sales,1890,,,12.17
Sales,1973,,,8.6700001
Sales,1991,,,9.0500002
Service,1890,,,11.52
Service,1973,,,8.3900003
Service,1991,,,8.0799999
Trade,1890,,11.52,
Trade,1973,,8.579999923706055,
Trade,1991,,8.770000457763672,
"Transportation, communication, utilities",1890,,10.64,
"Transportation, communication, utilities",1973,,8.289999961853027,
"Transportation, communication, utilities",1991,,8.760000228881836,
