Entity,Year,Projected global extreme poverty rate,Projected extreme poor in fragile states,Projected share of global extreme poor living in fragile states,Projected share of world population living in fragile states,Projected extreme poverty rate amongst fragile states,Projected extreme poor not in fragile states
OECD 2008 list,2015,,4.5437441,,,,5.3606768
OECD 2008 list,2016,,4.5887804,,,,4.7484465
OECD 2008 list,2017,,4.557477,,,,4.1559668
OECD 2008 list,2018,,4.4882441,,,,3.6174402
OECD 2008 list,2019,,4.4305186,,,,3.1673117
OECD 2008 list,2020,,4.3720484,,,,2.8118591
OECD 2008 list,2021,,4.3180456,,,,2.5448451
OECD 2008 list,2022,,4.2649121,,,,2.3286924
OECD 2008 list,2023,,4.1469159,,,,2.2019315
OECD 2008 list,2024,,4.0380859,,,,2.1105051
OECD 2008 list,2025,,3.9375172,,,,2.0333195
OECD 2008 list,2026,,3.8383577,,,,1.9635513
OECD 2008 list,2027,,3.7464228,,,,1.8996677
OECD 2008 list,2028,,3.660804,,,,1.840615
OECD 2008 list,2029,,3.5808971,,,,1.7852662
OECD 2008 list,2030,,3.5059347,,,,1.7346854
OECD 2008 list,2031,,3.4310341,,,,1.6820941
OECD 2018 list,2015,,6.1422405,,,,3.7621803
OECD 2018 list,2016,,6.1679363,,,,3.1692905
OECD 2018 list,2017,,6.0910797,,,,2.622364
OECD 2018 list,2018,,5.9813399,,,,2.1243443
OECD 2018 list,2019,,5.8841085,,,,1.7137218
OECD 2018 list,2020,,5.7908978,,,,1.3930097
OECD 2018 list,2021,,5.711597,,,,1.1512938
OECD 2018 list,2022,,5.6190252,,,,.97457933
OECD 2018 list,2023,,5.4788084,,,,.87003899
OECD 2018 list,2024,,5.3481956,,,,.80039549
OECD 2018 list,2025,,5.2259512,,,,.74488544
OECD 2018 list,2026,,5.1008344,,,,.7010746
OECD 2018 list,2027,,4.9830928,,,,.66299772
OECD 2018 list,2028,,4.8718877,,,,.62953138
OECD 2018 list,2029,,4.7667036,,,,.59945965
OECD 2018 list,2030,,4.6670961,,,,.573524
OECD 2018 list,2031,,4.5654998,,,,.5476284
OECD Chronic list,2015,,3.9485116,,,,5.9559093
OECD Chronic list,2016,,4.0098839,,,,5.327343
OECD Chronic list,2017,,3.9985628,,,,4.7148809
OECD Chronic list,2018,,3.9507258,,,,4.1549587
OECD Chronic list,2019,,3.9120064,,,,3.6858239
OECD Chronic list,2020,,3.8713198,,,,3.3125877
OECD Chronic list,2021,,3.8331971,,,,3.0296936
OECD Chronic list,2022,,3.7940834,,,,2.7995212
OECD Chronic list,2023,,3.6991224,,,,2.649725
OECD Chronic list,2024,,3.6110489,,,,2.5375421
OECD Chronic list,2025,,3.5291591,,,,2.4416776
OECD Chronic list,2026,,3.4470363,,,,2.3548727
OECD Chronic list,2027,,3.3706062,,,,2.2754843
OECD Chronic list,2028,,3.2991254,,,,2.2022936
OECD Chronic list,2029,,3.232074,,,,2.1340892
OECD Chronic list,2030,,3.1687946,,,,2.0718255
OECD Chronic list,2031,,3.1048524,,,,2.0082757
World Bank 2009 list,2015,,2.3450079,,,,7.559413
World Bank 2009 list,2016,,2.3784537,,,,6.9587731
World Bank 2009 list,2017,,2.3703642,,,,6.3430796
World Bank 2009 list,2018,,2.3426759,,,,5.7630081
World Bank 2009 list,2019,,2.3257654,,,,5.2720652
World Bank 2009 list,2020,,2.3055522,,,,4.878355
World Bank 2009 list,2021,,2.2836416,,,,4.5792494
World Bank 2009 list,2022,,2.2613804,,,,4.3322239
World Bank 2009 list,2023,,2.2024174,,,,4.14643
World Bank 2009 list,2024,,2.1482365,,,,4.0003548
World Bank 2009 list,2025,,2.0982585,,,,3.8725781
World Bank 2009 list,2026,,2.0478392,,,,3.7540698
World Bank 2009 list,2027,,2.00109,,,,3.6450005
World Bank 2009 list,2028,,1.9575921,,,,3.5438271
World Bank 2009 list,2029,,1.9170392,,,,3.4491241
World Bank 2009 list,2030,,1.8791661,,,,3.361454
World Bank 2009 list,2031,,1.8414038,,,,3.2717242
World Bank 2019 list,2015,,2.4569478,,,,7.447473
World Bank 2019 list,2016,,2.5214555,,,,6.8157711
World Bank 2019 list,2017,,2.5235,,,,6.1899438
World Bank 2019 list,2018,,2.5083587,,,,5.5973253
World Bank 2019 list,2019,,2.5003552,,,,5.0974751
World Bank 2019 list,2020,,2.4844236,,,,4.6994839
World Bank 2019 list,2021,,2.4684389,,,,4.3944521
World Bank 2019 list,2022,,2.4314816,,,,4.1621227
World Bank 2019 list,2023,,2.3769848,,,,3.9718626
World Bank 2019 list,2024,,2.3253624,,,,3.8232286
World Bank 2019 list,2025,,2.2763426,,,,3.694494
World Bank 2019 list,2026,,2.2247858,,,,3.5771232
World Bank 2019 list,2027,,2.1760228,,,,3.4700677
World Bank 2019 list,2028,,2.129705,,,,3.3717141
World Bank 2019 list,2029,,2.0858185,,,,3.2803447
World Bank 2019 list,2030,,2.044215,,,,3.1964052
World Bank 2019 list,2031,,2.0023141,,,,3.1108141
